ice_sheet,melt_season,geojson,start_date,end_date,status_url,request_code,ngranules_request,status,orderID,status_txt,nprocessed,n_links,gran_list_url,order_overview_url,order_summary_url,available_until
AIS,2022-23,simplified_ANT_1000_East_A-Ap.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624250,201,533,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_East_Dp-E.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624251,201,225,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_East_Dp-E.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624252,201,234,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_East_Dp-E.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624253,201,223,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_East_Dp-E.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624254,201,229,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_East_Dp-E.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624255,201,228,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_West_G-H.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624256,201,348,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_West_G-H.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624257,201,360,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_West_G-H.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624258,201,349,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_West_G-H.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624259,201,355,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_West_G-H.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624260,201,352,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_West_H-Hp.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624261,201,310,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_West_H-Hp.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624262,201,318,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_West_H-Hp.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624263,201,313,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_West_H-Hp.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624264,201,313,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_West_H-Hp.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624265,201,310,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_Peninsula_I-Ipp.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624266,201,146,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_Peninsula_I-Ipp.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624267,201,155,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_Peninsula_I-Ipp.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624268,201,152,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_Peninsula_I-Ipp.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624269,201,154,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_Peninsula_I-Ipp.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624270,201,146,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_East_E-Ep.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624272,201,712,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_East_E-Ep.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624273,201,725,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_East_E-Ep.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624274,201,704,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_East_E-Ep.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624275,201,726,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_East_E-Ep.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624276,201,714,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_East_B-C.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624277,201,132,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_East_B-C.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624278,201,136,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_East_B-C.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624279,201,137,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_East_B-C.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624280,201,132,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_East_B-C.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624281,201,132,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_East_Cp-D.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624282,201,378,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_East_Cp-D.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624283,201,398,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_East_Cp-D.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624284,201,385,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_East_Cp-D.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624285,201,390,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_East_Cp-D.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624286,201,379,,,-1,0,0,,,,
